FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
path=2076921095/api=apps/v1/default/StatefulSet/nacos,Medium,Ingress and Egress blocked,1,1,0
path=3537640526/api=apps/v1//Deployment/nginx-demo-app,Medium,Ingress and Egress blocked,1,1,0
path=14376281/api=/v1//ServiceAccount/litmus-admin,Medium,Automatic mapping of service account,1,1,0
path=2292752326/api=apps/v1//Deployment/reviews-v2,Medium,Ingress and Egress blocked,1,1,0
path=3849977692/api=apps/v1//Deployment/ratelimit,Medium,Ingress and Egress blocked,1,1,0
path=2774675873/api=apps/v1/sock-shop/Deployment/rabbitmq,Medium,Ingress and Egress blocked,1,1,0
path=3667727570/api=/v1/monitoring/ServiceAccount/node-exporter,Medium,Automatic mapping of service account,1,1,0
path=623598515/api=apps/v1//Deployment/liveness,Medium,Ingress and Egress blocked,1,1,0
path=4128858304/api=apps/v1/kadalu/DaemonSet/kadalu-csi-nodeplugin,Medium,Ingress and Egress blocked,1,1,0
path=3454183378/api=apps/v1/monitoring/Deployment/kube-state-metrics,Medium,Ingress and Egress blocked,1,1,0
path=3318458737/api=apps/v1/sock-shop/Deployment/user-load,Medium,Ingress and Egress blocked,1,1,0
path=3887220135/api=apps/v1/kadalu/DaemonSet/kadalu-csi-nodeplugin,Medium,Ingress and Egress blocked,1,1,0
path=2544526982/api=/v1/webapp/ServiceAccount/reconciler,Medium,Automatic mapping of service account,1,1,0
path=1106640042/api=/v1//ServiceAccount/event-tracker-sa,Medium,Automatic mapping of service account,1,1,0
path=3155024993/api=/v1/member-namespace/ServiceAccount/test-service-account,Medium,Automatic mapping of service account,1,1,0
path=4138806800/api=apps/v1//Deployment/backend,Medium,Ingress and Egress blocked,1,1,0
path=1217738639/api=apps/v1/monitoring/Deployment/kube-state-metrics,Medium,Ingress and Egress blocked,1,1,0
path=1389024369/api=/v1//ConfigMap/credentials-sync,High,Applications credentials in configuration files,1,1,0
path=2846413660/api=apps/v1/system/Deployment/controller-manager,Medium,Ingress and Egress blocked,1,1,0
path=3070329773/api=/v1/spire/ServiceAccount/spire-agent,Medium,Automatic mapping of service account,1,1,0
/monitoring/ServiceAccount/prometheus-k8s/path=1458563070/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/prometheus-k8s/path=3396943578/api=rbac.authorization.k8s.io/v1//ClusterRole/prometheus-k8s,Medium,Administrative Roles,1,1,0
path=2982561179/api=apps/v1/flux-system/Deployment/credentials-sync-eventhub,High,Applications credentials in configuration files,1,1,0
path=2982561179/api=apps/v1/flux-system/Deployment/credentials-sync-eventhub,Medium,Ingress and Egress blocked,1,1,0
path=1057200841/api=/v1/monitoring/ServiceAccount/prometheus-k8s,Medium,Automatic mapping of service account,1,1,0
path=2368596191/api=apps/v1//Deployment/pgo,Medium,Ingress and Egress blocked,1,1,0
path=174041734/api=apps/v1//StatefulSet/loki,Medium,Ingress and Egress blocked,1,1,0
path=1594117672/api=/v1/litmus/ConfigMap/litmus-portal-admin-config,High,Applications credentials in configuration files,1,1,0
path=2820491893/api=apps/v1//Deployment/opentelemetry-collector,Medium,Ingress and Egress blocked,1,1,0
path=395567991/api=apps/v1//Deployment/httpbin,Medium,Ingress and Egress blocked,1,1,0
path=351803101/api=apps/v1//StatefulSet/argocd-application-controller,Medium,Ingress and Egress blocked,1,1,0
path=1018944505/api=apps/v1//Deployment/ratings-v2-mysql-vm,High,Applications credentials in configuration files,1,1,0
path=1018944505/api=apps/v1//Deployment/ratings-v2-mysql-vm,Medium,Ingress and Egress blocked,1,1,0
path=3048854420/api=apps/v1//StatefulSet/nacos,Medium,Ingress and Egress blocked,1,1,0
path=886490018/api=apps/v1/kubeeye-system/Deployment/kubebench,Medium,Ingress and Egress blocked,1,1,0
path=321154237/api=apps/v1/litmus/Deployment/litmusportal-frontend,Medium,Ingress and Egress blocked,1,1,0
path=3458740679/api=apps/v1/default/StatefulSet/grafana,Medium,Ingress and Egress blocked,1,1,0
path=3458740679/api=apps/v1/default/StatefulSet/grafana,Medium,Automatic mapping of service account,1,1,0
path=1966492316/api=apps/v1/kong/Deployment/ingress-kong,Medium,Ingress and Egress blocked,1,1,0
path=78729049/api=apps/v1//Deployment/ratings-v1,Medium,Ingress and Egress blocked,1,1,0
path=3834591071/api=apps/v1//Deployment/fortio-deploy,Medium,Ingress and Egress blocked,1,1,0
path=2217832279/api=apps/v1//Deployment/controller-manager,Medium,Ingress and Egress blocked,1,1,0
path=413541288/api=/v1/default/ServiceAccount/nacos-operator,Medium,Automatic mapping of service account,1,1,0
path=414191242/api=apps/v1//Deployment/workflow-controller,Medium,Ingress and Egress blocked,1,1,0
path=2530640613/api=/v1/kadalu/ServiceAccount/kadalu-csi-provisioner,Medium,Automatic mapping of service account,1,1,0
/secure/ServiceAccount/reconciler/path=2561304601/api=rbac.authorization.k8s.io/v1/webapp/Role/reconciler/path=855551932/api=rbac.authorization.k8s.io/v1/secure/RoleBinding/reconciler,Medium,Administrative Roles,1,1,0
path=4171130120/api=/v1/mongodb/ServiceAccount/mongodb-enterprise-database-pods,Medium,Automatic mapping of service account,1,1,0
path=3003219297/api=apps/v1/spire/DaemonSet/spire-agent,Medium,Ingress and Egress blocked,1,1,0
path=3003219297/api=apps/v1/spire/DaemonSet/spire-agent,High,HostNetwork access,1,1,0
path=646410135/api=apps/v1//Deployment/productpage-v1,Medium,Ingress and Egress blocked,1,1,0
path=1538690825/api=/v1/kadalu/ServiceAccount/kadalu-server-sa,Medium,Automatic mapping of service account,1,1,0
path=3790192959/api=apps/v1//Deployment/helloworld-v1,Medium,Ingress and Egress blocked,1,1,0
path=3782828062/api=apps/v1/system/Deployment/kuberay-operator,Medium,Ingress and Egress blocked,1,1,0
path=3456670068/api=apps/v1/system/Deployment/controller-manager,Medium,Ingress and Egress blocked,1,1,0
path=1974624122/api=/v1/kanister/ServiceAccount/kanister-operator,Medium,Automatic mapping of service account,1,1,0
path=889107170/api=/v1/secure/ServiceAccount/reconciler,Medium,Automatic mapping of service account,1,1,0
path=2065281225/api=apps/v1/kong/Deployment/proxy-kong,High,Applications credentials in configuration files,1,1,0
path=2065281225/api=apps/v1/kong/Deployment/proxy-kong,Medium,Ingress and Egress blocked,1,1,0
path=4035686336/api=/v1/mongodb/ServiceAccount/mongodb-enterprise-ops-manager,Medium,Automatic mapping of service account,1,1,0
path=2059638303/api=apps/v1//Deployment/argo-rollouts-dashboard,Medium,Ingress and Egress blocked,1,1,0
path=112531547/api=/v1/istio-system/ServiceAccount/kiali,Medium,Automatic mapping of service account,1,1,0
path=368651821/api=apps/v1//Deployment/pgo,High,Applications credentials in configuration files,1,1,0
path=368651821/api=apps/v1//Deployment/pgo,Medium,Ingress and Egress blocked,1,1,0
path=2832956797/api=apps/v1//Deployment/jaeger-operator,Medium,Ingress and Egress blocked,1,1,0
